sector,parroquia,poblacion_estimada,tasa_feminicidio_100k,denuncias_vg_100hog,casas_acogida_disponibles,centros_dece_activos_pct,cobertura_devif,prog_prevencion_activos,femicidios_sin_sentencia,victimas_protegidas_activas,fuente_feminicidios,fuente_denuncias,fuente_dece,fuente_devif
Tarqui — Bastión Popular,Tarqui,197822,1.148,5.57,1,78.5,1.0,3,1,254,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Tarqui — Flor de Bastión,Tarqui,197822,1.148,5.57,1,78.5,1.0,3,1,254,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Tarqui — Mucho Lote,Tarqui,197822,1.148,5.57,1,78.5,1.0,3,1,254,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Febres-Cordero — Suburbio Oeste,Febres-Cordero,196960,1.148,5.57,0,69.8,1.0,3,1,253,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Febres-Cordero — Batallón del Suburbio,Febres-Cordero,196960,1.148,5.57,0,69.8,1.0,3,1,253,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Letamendi — 9 de Octubre,Letamendi,110449,0.706,4.36,0,82.0,0.7,2,0,142,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
García Moreno — Centenario,García Moreno,72310,0.706,4.36,0,80.0,0.65,2,0,93,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Ximena — Floresta,Ximena,86022,1.148,5.57,1,71.2,1.0,3,0,110,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Ximena — Guasmo Sur,Ximena,86022,1.148,5.57,1,71.2,1.0,3,0,110,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Ximena — Guasmo Norte,Ximena,86022,1.148,5.57,1,71.2,1.0,3,0,110,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Ximena — Trinitaria,Ximena,86022,1.148,5.57,1,71.2,1.0,3,0,110,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
Ximena — Cisne 2,Ximena,86022,1.148,5.57,1,71.2,1.0,3,0,110,Fiscalía Ecuador 2022 (desagregado por peso pob.),INEC ENVIGMU 2019 Guayas 60.5%,MINEDUC Estadística Educativa Zonal 2023,Policía Nacional DEVIF 2023
